domain,model,horizon,n_origins,mae_model,mae_baseline,skill
wind,lightgbm,34,351,2.965964013355775,3.634586894586894,0.18396117650314536
wind,lightgbm,35,351,2.9795396501803837,3.6398290598290597,0.18140670861056474
wind,lightgbm,36,351,3.127018989173155,3.8474074074074074,0.18723996238279572
wind,lightgbm,37,351,3.261273666634523,4.041566951566952,0.1930670193722518
wind,lightgbm,38,351,3.3191453509122475,4.277037037037037,0.22396151303575795
wind,lightgbm,39,351,3.223210158358745,4.279259259259259,0.24678315496203806
wind,lightgbm,40,351,3.082298578372889,4.235242165242166,0.2722261306168672
wind,lightgbm,41,351,3.0796577451876646,4.008404558404559,0.23169986953276933
wind,lightgbm,42,350,2.9323060266067587,3.8541714285714286,0.23918640336824992
wind,lightgbm,43,350,3.027816205441511,3.8838000000000004,0.22039852581453456
wind,lightgbm,44,350,3.1202995354620753,3.8398857142857143,0.18739781138447098
wind,lightgbm,45,350,3.3221321458916933,3.863971428571429,0.14022859451630632
wind,lightgbm,46,350,3.373165137424328,4.022428571428571,0.16141080505841177
wind,lightgbm,47,350,3.243201727447291,3.8703428571428566,0.16203761600555733
wind,lightgbm,48,350,3.0500601596189116,3.904742857142857,0.2188832219669712
wind,mlp,1,352,2.2940516664509683,2.289659090909091,-0.0019184408540633413
wind,mlp,2,352,2.545563727457129,2.8569886363636363,0.10900460188840211
wind,mlp,3,352,2.6167134086921906,2.9699715909090902,0.11894328662880227
wind,mlp,4,352,2.7584761545365892,3.1241761363636367,0.11705485410073624
wind,mlp,5,352,2.6670789371243497,3.054090909090909,0.12671920498979472
wind,mlp,6,352,2.843863219340537,3.2537784090909088,0.1259812864345916
wind,mlp,7,352,2.7954857918291487,3.2374431818181817,0.1365143309606518
wind,mlp,8,352,2.797297266601806,3.431988636363636,0.18493399512951691
wind,mlp,9,352,2.815182069605324,3.4388068181818183,0.1813491660186426
wind,mlp,10,352,2.700890044267557,3.3134659090909095,0.1848746544042218
wind,mlp,11,352,2.6722140199638145,3.4072443181818177,0.21572573891919555
wind,mlp,12,352,2.730793689967719,3.5420738636363636,0.2290410095614912
wind,mlp,13,352,2.9386995963240063,3.6944886363636367,0.20457202996935686
wind,mlp,14,352,2.74054828895149,3.7011647727272727,0.25954437123531104
wind,mlp,15,352,2.8387023523952104,3.7579261363636367,0.2446093272226778
wind,mlp,16,352,2.938824352005064,3.764375,0.2193061658296359
wind,mlp,17,352,2.8821519054506313,3.6564204545454544,0.21175588494815922
wind,mlp,18,351,2.8289315940156796,3.521880341880342,0.1967553353884519
wind,mlp,19,351,2.7916814018594054,3.5243874643874644,0.20789600176818324
wind,mlp,20,351,2.8768586101517744,3.448034188034188,0.1656525274211551
wind,mlp,21,351,2.9831337294082054,3.569344729344729,0.16423490707330535
wind,mlp,22,351,3.1422666162115602,3.528233618233618,0.10939383379473855
wind,mlp,23,351,2.930425680234929,3.3898860398860395,0.13553858573563038
wind,mlp,24,351,2.8636683116269053,3.4789458689458685,0.17685746789311052
wind,mlp,25,351,2.999027938671097,3.703105413105413,0.19013163166853475
wind,mlp,26,351,2.9498087386535423,3.724472934472934,0.20799297228052427
wind,mlp,27,351,2.9956490112301726,3.717264957264958,0.1941255074176168
wind,mlp,28,351,2.993074137133122,3.737777777777778,0.19923700255059162
wind,mlp,29,351,3.002063414269695,3.6527920227920223,0.17814554030506802
wind,mlp,30,351,3.012817305097038,3.7214814814814807,0.1904252862498006
wind,mlp,31,351,2.928734531476579,3.802165242165242,0.2297192928393783
wind,mlp,32,351,2.964555980770825,3.8619943019943017,0.23237691489084988
wind,mlp,33,351,2.9631723558650096,3.8074643874643876,0.22174653409211298
wind,mlp,34,351,2.8763469322898163,3.6345868945868944,0.20861792118007938
