domain,model,horizon,n_origins_x,mae_model,mae_baseline,skill,n_origins_y,dm_stat,p_value,p_value_bh,significant_bh,h_relax,h_strict,h_start,h_end,n_sign_changes
pm25,extratrees,15,365,62.55495890410959,63.21917808219178,0.0105066088840736,365,0.2799422039407401,0.7796808620049434,0.8195185702825681,False,48,26,23,48,3
pm25,extratrees,16,365,62.124273972602744,63.56986301369863,0.0227401629099684,365,0.6064592321837271,0.5445878794054559,0.6589970977679467,False,48,26,23,48,3
pm25,extratrees,17,365,63.7507397260274,64.31506849315069,0.0087744408945688,365,0.2807439817613342,0.7790662731472411,0.8195185702825681,False,48,26,23,48,3
pm25,extratrees,18,365,64.64657534246575,65.57534246575342,0.0141633590975558,365,0.4663742811262369,0.641226597939109,0.7352757923187714,False,48,26,23,48,3
pm25,extratrees,19,365,65.50564383561643,66.64383561643835,0.0170787255909559,365,0.412519687794626,0.6802014092780697,0.7514157884505716,False,48,26,23,48,3
pm25,extratrees,20,365,66.50997260273972,67.72054794520548,0.0178760417509508,365,0.5226834763318164,0.601512519205154,0.7088289376754485,False,48,26,23,48,3
pm25,extratrees,21,365,70.69616438356165,69.61643835616438,-0.0155096418732783,365,-0.3172164928390475,0.7512612065286772,0.8013452869639224,False,48,26,23,48,3
pm25,extratrees,22,365,73.25890410958904,73.07123287671233,-0.0025683326459449,365,-0.0492817932704532,0.9607217584606969,0.9674400924359464,False,48,26,23,48,3
pm25,extratrees,23,365,74.12043835616439,75.97534246575343,0.0244145541091197,365,0.521510247248286,0.6023285246847192,0.7088289376754485,False,48,26,23,48,3
pm25,extratrees,24,365,76.41435616438356,78.47123287671234,0.0262118567139166,365,0.6255050039208023,0.5320316300293813,0.6492589383409398,False,48,26,23,48,3
pm25,extratrees,25,365,78.67950684931508,80.1917808219178,0.0188582166040313,365,0.5170173480683875,0.6054580509311123,0.7088289376754485,False,48,26,23,48,3
pm25,extratrees,26,365,79.80471232876714,82.17534246575343,0.0288484363539373,365,0.6397164167252792,0.5227593945034656,0.6433961778504192,False,48,26,23,48,3
pm25,extratrees,27,365,82.14761643835617,85.23287671232876,0.036198007071681,365,0.8509679737089609,0.3953465860360374,0.5271287813813833,False,48,26,23,48,3
pm25,extratrees,28,365,84.54328767123287,85.55890410958904,0.0118703768932721,365,0.3999095943112636,0.6894576757506732,0.7514157884505716,False,48,26,23,48,3
pm25,extratrees,29,365,80.95101369863015,84.18904109589042,0.0384613882651566,365,1.0841671871748493,0.2790082505286739,0.4141978152178252,False,48,26,23,48,3
pm25,extratrees,30,365,82.1372602739726,86.15068493150685,0.0465861027190331,365,1.0694379453354916,0.2855810342179616,0.416138180388926,False,48,26,23,48,3
pm25,extratrees,31,365,79.96893150684932,84.33698630136986,0.0517928726894714,365,0.9441439061445036,0.3457223666865199,0.4786925077197967,False,48,26,23,48,3
pm25,extratrees,32,365,77.08378082191781,81.99178082191781,0.0598596585023557,365,1.3288078858950536,0.1847437346033633,0.3023079293509582,False,48,26,23,48,3
pm25,extratrees,33,365,76.5933698630137,80.25753424657535,0.0456550829521403,365,1.1027892766945968,0.270847256775566,0.41408448990918,False,48,26,23,48,3
pm25,extratrees,34,365,74.83835616438355,80.07945205479452,0.0654486982106812,365,1.6528068946810364,0.0992323838815698,0.1855774451811176,False,48,26,23,48,3
pm25,extratrees,35,365,76.35901369863014,81.61917808219178,0.0644476519754287,365,1.7463568628743966,0.0815925148756171,0.160949618384779,False,48,26,23,48,3
pm25,extratrees,36,365,77.13446575342466,82.88493150684931,0.0693789045714473,365,1.9643981247377915,0.0502443814359747,0.1063998665702995,False,48,26,23,48,3
pm25,extratrees,37,365,75.83676712328767,82.56712328767124,0.0815137538573846,365,6.000500356356913,4.753543558777551e-09,9.778718178056677e-08,True,48,26,23,48,3
