domain,model,horizon,n_origins,mae_model,mae_baseline,skill
traffic,ridge,19,104,15.173821369779066,13.730522168803418,-0.10511611890878503
traffic,ridge,20,104,14.929311268588481,12.189002721815221,-0.22481810934940594
traffic,ridge,21,104,13.4133917481569,12.514915293040294,-0.07179245197258832
traffic,ridge,22,104,13.049543159144262,12.494200562169313,-0.044448029644765574
traffic,ridge,23,104,11.623851812596941,10.627130392755392,-0.09379026915121158
traffic,ridge,24,104,12.24374317947962,11.85423471204721,-0.03285817067858132
traffic,ridge,25,104,12.784452701375857,11.986406504375255,-0.06657927016819443
traffic,ridge,26,104,12.352989026184586,12.501018454924703,0.011841389505492739
traffic,ridge,27,104,12.376668160978532,13.292096560846561,0.06887012862700159
traffic,ridge,28,104,12.386834730194762,12.746190094627593,0.028193159035365123
traffic,ridge,29,104,14.706167559675764,12.632479904354906,-0.16415523088273254
traffic,ridge,30,104,16.68190847276856,13.36960183913309,-0.2477490858359208
traffic,ridge,31,104,16.940803334193962,14.066228187321936,-0.20436005363988863
traffic,ridge,32,104,17.75345139562033,15.365454886548637,-0.155413329882099
traffic,ridge,33,104,16.96673699698404,14.73841257122507,-0.15119161680339288
traffic,ridge,34,104,16.02913367867399,14.426781262718764,-0.11106790813387968
traffic,ridge,35,104,14.706717220673053,14.375001907814408,-0.023075844788467137
traffic,ridge,36,104,14.324386579997894,15.054077635327635,0.04847132272105226
traffic,ridge,37,104,15.375960349666553,15.164590646621898,-0.013938371827513896
traffic,ridge,38,104,15.601760086964276,14.738683162901914,-0.058558618468356416
traffic,ridge,39,104,17.632826655182555,18.26606634106634,0.03466754549446249
traffic,ridge,40,104,20.21372629821555,22.03633527930403,0.08270925986501154
traffic,ridge,41,104,25.783806855590633,30.44198177401302,0.15301812322872044
traffic,ridge,42,103,27.00905632645401,30.748677569733392,0.121618929295365
traffic,ridge,43,103,17.380452782767485,17.183191747572817,-0.011479883254083445
traffic,ridge,44,103,16.316483121663012,13.836236001952022,-0.17925735867479253
traffic,ridge,45,103,15.573404834051097,13.900599732881284,-0.12034049849035378
traffic,ridge,46,103,15.9470328854598,14.541442890532696,-0.0966609713704698
traffic,ridge,47,103,14.750494171872251,13.622802691734732,-0.08277969707523658
traffic,ridge,48,103,15.020156442047073,15.288506511018644,0.017552405709358676
traffic,ridge,49,103,15.399841433435064,14.068193930754612,-0.09465660689886612
traffic,ridge,50,103,14.356183867486196,14.344297079673291,-0.0008286769122864968
traffic,ridge,51,103,13.150945010177086,13.809529909590589,0.04769060958086069
traffic,ridge,52,103,13.191835454802833,13.639277687882059,0.032805420002318786
traffic,ridge,53,103,15.515135912867274,13.493088303282478,-0.14985802835759188
traffic,ridge,54,103,17.835671782197483,14.757646594236395,-0.20857154752324902
traffic,ridge,55,103,18.19244918101222,15.013221734216883,-0.21176183920267455
traffic,ridge,56,103,18.85575913203725,15.860128037191146,-0.18887811547432087
traffic,ridge,57,103,18.323798230103943,15.640964195818567,-0.17152612848526316
traffic,ridge,58,103,16.421287040472432,15.36577477269225,-0.06869242087655847
traffic,ridge,59,103,14.73076109065369,14.031057045256075,-0.04986823466975965
traffic,ridge,60,103,14.625688143959138,14.099655185698873,-0.037308214373484416
traffic,ridge,61,103,16.027788732042794,15.069107335490829,-0.06361899050875253
traffic,ridge,62,103,15.511633362420637,14.848417193198747,-0.044665782257631736
traffic,ridge,63,103,16.96156138178067,17.407677415626445,0.025627544858184748
traffic,ridge,64,103,19.7582214794276,20.91725130990908,0.055410235948755604
traffic,ridge,65,103,26.324647795830465,28.6927174834335,0.0825320811446425
traffic,ridge,66,102,27.487855155810767,30.223191915655153,0.09050456243926785
traffic,ridge,67,102,17.47735330356542,18.917931385517168,0.07614881630528592
traffic,ridge,68,102,16.819528616323513,14.92542859736487,-0.12690422969113602
traffic,ridge,69,102,16.00575092874005,14.39384596431165,-0.11198570336413116
traffic,ridge,70,102,16.18534402512985,14.489347312999273,-0.11705128433280065
traffic,ridge,71,102,15.189480021482188,14.828260192966077,-0.024360229980821213
traffic,ridge,72,102,14.914540990017553,15.287932163606182,0.024423916170789206
